agent;timestep;position;direction;status;given_command
0;0;None;e;waiting;wait
1;0;None;e;waiting;wait
0;1;None;e;waiting;wait
1;1;None;e;ready to depart;move_forward
0;2;None;e;waiting;wait
1;2;(7, 18);e;moving;move_forward
0;3;None;e;waiting;wait
1;3;(7, 19);e;moving;move_right
0;4;None;e;waiting;wait
1;4;(8, 19);s;moving;move_left
0;5;None;e;waiting;wait
1;5;(8, 20);e;moving;move_forward
0;6;None;e;ready to depart;move_forward
1;6;(7, 20);n;moving;move_right
0;7;(11, 8);e;moving;move_forward
1;7;(7, 21);e;moving;move_forward
0;8;(11, 9);e;moving;move_right
1;8;(7, 22);e;moving;move_forward
0;9;(12, 9);s;moving;move_left
1;9;(8, 22);s;moving;move_forward
0;10;(12, 10);e;moving;move_forward
1;10;(9, 22);s;moving;move_forward
0;11;(11, 10);n;moving;move_right
1;11;(10, 22);s;moving;move_forward
0;12;(11, 11);e;moving;wait
1;12;(11, 22);s;moving;move_forward
0;13;(11, 11);e;stopped;wait
1;13;(11, 21);w;moving;move_forward
0;14;(11, 11);e;stopped;wait
1;14;(11, 20);w;moving;move_forward
0;15;(11, 11);e;stopped;wait
1;15;(11, 19);w;moving;move_forward
0;16;(11, 11);e;stopped;wait
1;16;(11, 18);w;moving;move_forward
0;17;(11, 11);e;stopped;wait
1;17;(11, 17);w;moving;move_forward
0;18;(11, 11);e;stopped;wait
1;18;(11, 16);w;moving;move_forward
0;19;(11, 11);e;stopped;wait
1;19;(11, 15);w;moving;move_forward
0;20;(11, 11);e;stopped;wait
1;20;(11, 14);w;moving;move_forward
0;21;(11, 11);e;stopped;wait
1;21;(11, 13);w;moving;move_forward
0;22;(11, 11);e;stopped;wait
1;22;(11, 12);w;moving;move_forward
0;23;(11, 11);e;stopped;move_forward
1;23;(11, 12);w;stopped;move_forward
0;24;(11, 11);e;stopped;move_left
1;24;(11, 12);w;stopped;move_left
0;25;(11, 11);e;stopped;move_forward
1;25;(11, 12);w;stopped;move_forward
0;26;(11, 11);e;stopped;move_forward
1;26;(11, 12);w;stopped;move_forward
0;27;(11, 11);e;stopped;move_forward
0;28;(11, 11);e;stopped;move_forward
0;29;(11, 11);e;stopped;move_right
0;30;(11, 11);e;stopped;move_forward
0;31;(11, 11);e;stopped;move_forward
0;32;(11, 11);e;stopped;move_right
0;33;(11, 11);e;stopped;move_forward
0;34;(11, 11);e;stopped;move_forward
